"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2023","1.2527","1.2456","1.2536","1.2443","37.39K","0.56%"
"05/12/2023","1.2457","1.2514","1.2542","1.2444","72.71K","-0.42%"
"05/11/2023","1.2509","1.2625","1.2642","1.2496","73.40K","-0.91%"
"05/10/2023","1.2624","1.2621","1.2680","1.2601","77.11K","0.04%"
"05/09/2023","1.2619","1.2618","1.2641","1.2578","79.06K","0.02%"
"05/08/2023","1.2617","1.2641","1.2670","1.2613","74.66K","-0.19%"
"05/05/2023","1.2641","1.2571","1.2653","1.2559","97.13K","0.55%"
"05/04/2023","1.2572","1.2556","1.2600","1.2548","104.67K","0.06%"
"05/03/2023","1.2564","1.2463","1.2591","1.2463","101.20K","0.80%"
"05/02/2023","1.2464","1.2497","1.2514","1.2435","86.71K","-0.26%"
"05/01/2023","1.2496","1.2566","1.2572","1.2479","61.51K","-0.60%"
"04/28/2023","1.2572","1.2498","1.2585","1.2445","100.26K","0.68%"
"04/27/2023","1.2487","1.2466","1.2501","1.2436","85.92K","0.16%"
"04/26/2023","1.2467","1.2408","1.2516","1.2402","88.21K","0.48%"
"04/25/2023","1.2408","1.2480","1.2508","1.2386","91.39K","-0.59%"
"04/24/2023","1.2482","1.2439","1.2487","1.2409","96.86K","0.42%"
"04/21/2023","1.2430","1.2435","1.2449","1.2366","76.69K","-0.10%"
"04/20/2023","1.2443","1.2443","1.2469","1.2405","88.39K","0.04%"
"04/19/2023","1.2438","1.2428","1.2476","1.2392","67.83K","0.11%"
"04/18/2023","1.2424","1.2373","1.2450","1.2368","97.33K","0.40%"
"04/17/2023","1.2374","1.2414","1.2440","1.2352","83.46K","-0.31%"
"04/14/2023","1.2413","1.2525","1.2548","1.2399","98.77K","-0.85%"
"04/13/2023","1.2520","1.2485","1.2538","1.2478","114.93K","0.31%"
"04/12/2023","1.2481","1.2426","1.2496","1.2398","92.65K","0.46%"
"04/11/2023","1.2424","1.2383","1.2457","1.2379","94.47K","0.35%"
"04/10/2023","1.2381","1.2423","1.2444","1.2344","60.56K","-0.26%"
"04/07/2023","1.2413","1.2441","1.2457","1.2390","55.80K","-0.21%"
"04/06/2023","1.2439","1.2462","1.2490","1.2412","68.05K","-0.14%"
"04/05/2023","1.2457","1.2502","1.2515","1.2433","71.99K","-0.34%"
"04/04/2023","1.2499","1.2415","1.2527","1.2394","83.50K","0.71%"
"04/03/2023","1.2411","1.2329","1.2424","1.2274","104.26K","0.63%"
"03/31/2023","1.2333","1.2385","1.2424","1.2325","99.53K","-0.40%"
"03/30/2023","1.2383","1.2313","1.2394","1.2293","98.93K","0.58%"
"03/29/2023","1.2311","1.2343","1.2363","1.2303","91.73K","-0.24%"
"03/28/2023","1.2340","1.2284","1.2350","1.2280","88.45K","0.46%"
"03/27/2023","1.2284","1.2229","1.2295","1.2218","99.01K","0.44%"
"03/24/2023","1.2230","1.2290","1.2294","1.2190","96.93K","-0.45%"
"03/23/2023","1.2285","1.2268","1.2344","1.2261","122.04K","0.17%"
"03/22/2023","1.2264","1.2215","1.2336","1.2207","92.17K","0.41%"
"03/21/2023","1.2214","1.2278","1.2284","1.2178","90.13K","-0.51%"
"03/20/2023","1.2276","1.2207","1.2286","1.2167","104.95K","0.83%"
"03/17/2023","1.2175","1.2110","1.2202","1.2099","112.77K","0.56%"
"03/16/2023","1.2107","1.2068","1.2129","1.2027","131.57K","0.35%"
"03/15/2023","1.2065","1.2160","1.2183","1.2010","154.98K","-0.76%"
"03/14/2023","1.2158","1.2184","1.2205","1.2135","142.08K","-0.19%"
"03/13/2023","1.2181","1.2040","1.2201","1.2040","146.51K","1.27%"
"03/10/2023","1.2028","1.1926","1.2114","1.1908","134.58K","0.86%"
"03/09/2023","1.1925","1.1845","1.1940","1.1831","109.69K","0.70%"
"03/08/2023","1.1842","1.1837","1.1860","1.1803","98.25K","0.13%"
"03/07/2023","1.1827","1.2025","1.2067","1.1821","109.22K","-1.61%"
"03/06/2023","1.2021","1.2038","1.2050","1.1992","110.39K","-0.16%"
